name,total
django.template.loader.get_template,133
sqlalchemy.Unicode,133
octoprint.settings.settings,133
django.db.connection.cursor,133
numpy.atleast_2d,133
PIL.Image.new,132
django.core.management.execute_from_command_line,132
gi.repository.Gtk.Label,132
inspect.isfunction,132
file.tell,132
contextlib.nested,132
unittest.TestLoader,132
google.protobuf.descriptor_pb2.EnumValueOptions,132
yaml.safe_load,131
rest_framework.reverse.reverse,131
math.tan,131
alembic.op.create_foreign_key,130
Xlib.protocol.request.to_binary,130
string.lower,130
lib.core.data.logger.info,130
Xlib.protocol.request.parse_binary,130
xbmcaddon.Addon.getSetting,130
twisted.internet.reactor.listenTCP,130
django.template.Library.filter,130
Xlib.protocol.rq.Opcode,129
imp.load_module,129
mathutils.Vector,129
django.contrib.messages.add_message,129
Xlib.protocol.rq.RequestLength,129
openerp.exceptions.UserError,129
pyparsing.Optional,129
lib.core.common.Backend.isDbms,129
lxml.etree.parse,129
landlab.ca.celllab_cts.Transition,129
os.pathsep.join,129
pyNastran.bdf.bdf_interface.bdf_card.BDFCard,128
sqlalchemy.UniqueConstraint,128
termcolor.colored,128
mox.IsA,128
openerp.http.route,128
testtools.matchers.Equals,128
dal.Field,128
xmodule.modulestore.tests.factories.ItemFactory.create,128
openerp.osv.fields.float,128
zipfile.ZipFile.namelist,128
math.log10,127
twisted.internet.defer.gatherResults,127
gtk.Label,127
saml2.create_class_from_xml_string,127
swift.common.utils.Timestamp,127
pyparsing.CaselessKeyword,126
vtk.util.misc.vtkGetDataRoot,126
asyncio.get_event_loop,126
IMP.Particle,126
numpy.cross,126
responses.add,126
mercurial.util.Abort,126
subprocess.Popen.poll,126
django.setup,125
webbrowser.open,125
django.db.models.Count,125
numpy.asanyarray,125
mailbox.MHMessage.add_sequence,125
matplotlib.pyplot.imshow,125
socket.inet_ntoa,125
django.core.urlresolvers.reverse_lazy,125
numpy.roll,125
flask.Response,124
oslo_config.cfg.CONF.set_override,124
imp.load_source,124
pylab.imshow,124
theano.tensor.sum,124
numpy.arctan2,124
PyQt4.QtGui.QGridLayout,123
commands.getstatusoutput,123
urllib.parse.urlparse,123
brisa.core.log.debug,123
xbmcplugin.addDirectoryItem,123
sqlalchemy.testing.mock.Mock,123
psycopg2.connect,123
six.print_,123
django.contrib.admin.register,123
.utils.support_types.emptyDoubleVector,122
FreeCAD.ActiveDocument.addObject,122
titus.genpy.PFAEngine.fromYaml,122
pylab.xlabel,122
gevent.sleep,122
tables.open_file,122
zlib.decompress,122
sqlalchemy.schema.Column,122
RPi.GPIO.output,122
numpy.fabs,122
numpy.ravel,122
testlib.next_block,121
frappe.db.sql,121
